comment,y_true,y_pred
điện thoải ổn facelock cực nhanh vân tay ôk màn_hình lớn pin trâu liên_quân zalo youtube một ngày mất khoảng number tuy chip number mượt đa_nhiệm khá ổn,Positive,Positive
mình mới mua vivonumberc tải ứng_dụng games nhanh hài_lòng cài hình nền khóa màn_hình hay mình biết hết chức_năng nó tư_vấn viên nhiệt_tình,Positive,Positive
xấu đẹp ko biết ưng tgdđ phục_vụ tuyệt_vời mua ở tgdđ mòn đít mua dài_dài ủng_hộ tgdđ,Positive,Positive
màn_hình hơi lác chơi game nặng mình chơi ở number bên loa ngoài sao nó dùng number bên mình hỏi máy bạn hả hay máy mình lỗi,Negative,Negative
nói_chung máy đẹp màn amoled ổn trong tầm giáhơi tiếc thời_lượng pin k cao quảng_cáo,Positive,Positive
đt number lỗi number chế dô bỏ_túi number ánh_sáng điện_thoại number nhấp đúp màn_hình ko nhạy lắm còn tốt,Negative,Negative
thật tuyệt máy mượt túi thích thế_giới di_động chỗ giá khác túi hiểu đánh_giá numbersao thế_giới di_động phương phú châu numbersao nhân_viên ok,Negative,Positive
sản_phẩm tốt pin sài cả ngày hết chơi game lướt web mượt chụp hình đẹp cầm tay đáng đồng_tiền,Positive,Positive
mua đc number tuần đt sài khá tốt giá tầm trung v ok lắm pin cực_kì mạnh điểm yếu cam trc thôi cam đẹp lắm nha mọi người sài kĩ một_tí máy tốt lắm máy gần numbertr chê nọ sao v tốt lắm,Positive,Positive
pin nhanh hết vân tay đk nhạy nhân vien tgdd tư_vấn nhiệt_tình dễ_thương number sao về phong_cách bán hàng,Negative,Neutral
mới sài cặp nứt màn nứt k bảo_hành thay màn gần bằng máy mới chán,Negative,Negative
máy thiết_kế quá đẹp dùng dk mấy hôm r thấy máy ổn tiếc pin tụt quá nhanh pin sạc nhanh nóng,Positive,Negative
nâng_cấp phiên_bản mới pin sụt nhanh nghĩ chán,Negative,Negative
dùng number tháng ok sang tháng thư number bắt đau lỗi chán quá săp nguồn chết k dc còn kêu tắt tình ắng chế_tài nghe j ý,Negative,Negative
màn_hình sắc nét pin trâu chíp khoẻ hình_thức máy đẹp vivo snumber pro quá tuyệt_vời,Positive,Positive
dùng hơn number tuần cảm_giác mọi thứ ok sóng_sánh hơi kémhay mất sóng cách nào khắc_phục ko qtv mong phản_hồi,Neutral,Neutral
mình mua đc number tuần tình_trạng pin còn number đổi đc hk vs đứng máy thấy nản quá,Negative,Negative
mua xong muốn trả máy camera quá tệ cả camera lẫn khuyên ai chụp ảnh mình k lấy con,Negative,Negative
may mới mua number tháng pin ổn chụp hình xấu viền máy mới tróc sơn quá thất_vọng,Negative,Negative
app ngân_hàng chặn đăng_nhập vân tay k đáng_giá numbertr mua về chip yếu giờ chặn chức_năng vân tay trong màn_hình,Negative,Negative
mọi thứ okmình thấy pin trâu sao đâumua đc number tuần cảm_biến vân tay ko nhạy mong_đợi thôi,Positive,Neutral
máy nâng_cấp bản cập_nhật sửa lỗi bluetooth nghe nhạc bluetooth ngon_lành,Positive,Positive
máy cũng xài tạm ổn màn_hình nó ko được nhay nhiều lúc phải bấm vài lần mới được,Negative,Negative
máy mượt dùng tốt pin ok chụp hình đẹp mới mua về thời_gian dùng tiếp,Positive,Positive
biết mn sử_dụng nào mình thấy máy ok lắm mình number sao kém ở phần pin hơi thấp tất_cả ok,Neutral,Neutral
máy quá kém chơi game giật máy mau nóng quá hợp giá number triệu giờ xài oppo giờ mua samsung kg dám mua thứ numberquá tệ,Negative,Negative
khá ngon trong tầm giá màn_hình lớn chơi game xem phim ngon chip khá mạnh hơi ấm tí,Positive,Positive
em hỏi máy em mua number tuần máy lâu_lâu em nghe cốc lỏng ở trong vấn_đề j k anh,Negative,Negative
vài ngày sd sp thấy đt cx tạm ổn xài xạc cảm_ứq đơ pin tuột nhanh vân tay xài cx khá ổn,Negative,Neutral
hàng sài tạm mượt lắm vi xử_lý kém chơi game lien quan_yếu,Negative,Negative
sản_phẩm tốt nhân_viên nhiệt_tình tới tận mình về có điều pin mình mong_đợi mặc_dù tác vụ gì nhiều numbergb bộ_nhớ thật_sự khó đủ với mình mặc_dù mình chứa gì nhiều nói_chung mọi thứ khác đều ok,Neutral,Positive
sản_phẩm tốt trong tầm giá đôi máy hơi giật lác mượt lắm,Negative,Negative
máy trong tầm giá bth pin nó trâu dùng ngon_lành tự_nhiên sập nguồn đơbấm mở nguồn ko đc chờ đến numberp mới mở nguồn cv mình toàn đth ko thôi cv tự_nhiên đơ rụp sập nguồn muốn đập lắm lun á ý_định đổi máy khác biết đc,Negative,Negative
quá ngon trong tầm giá lần đầu dùng smartphone đi đâu kè_kè cục xạc giải_trí căn_bản pin number ngày,Positive,Positive
mình mua number ngày về xài thấy tốt công hầu xài suốt ngày numberg mình bật number pin xài number giờ sáng đến number giờ trong dt khác mình xài sạt number lần về tất_cả chức_năng còn mình thấy mượt mình hài_lòng về sản_phẩm máy chạy nóng mình mua thêm sản_phẩm gia_đình xài,Positive,Positive
mình thấy bạn chê mình thấy máy dùng ok ko lag fb tiktok coi phim loa ok cả mình dùng dt quay_phim chụp ảnh bán hàng online thôi k game gủng dùng messeger rep ib ko đơ sung_sướng nghe gọi loa to rõ ràngnhất khoản thu cũ đổi_mới còn hỗ_trợ trả_góp o mình đổi notenumber lấy máy lo notenumber nhỏ máy dùng hơn number năm dãi nắng dầm mưa mình giờ hay đơ dạo hơi stress lăn_tăn mãi đổi bỏ tiền mua máy mới quá tiếc ko nghĩ đơn_giản đến thế luôn đưa máy cũ đến cầm máy mới về bắt_đầu tháng thanh_toán numbertrnumber trong vòng number tháng thích bạn nhân_viên tư_vấn nhiệt_tình cực_kỳ,Positive,Positive
camera khởi_động phát_âm_thanh khó_chịu giống bth kêu rè kiểu ấy,Negative,Negative
mình mới mua máy hơn tuần dùng ok luônnhân viên tgdđ nhiệt_tình đáng yêu nói_chung tuyệt,Positive,Positive
sản_phẩm khá tốt trong tầm giá sao sạc pin nó nóng thế mặc_dù tôi tắt ánh_sáng mạng đi xoá tác vụ trang nó thế,Negative,Neutral
máy đẹpchạy mượt màpin sài ổnsạc number tiếng đầy pingiá cả hợp lývì mình mua dung_lượng icloud numbergb sài củng tạm,Positive,Positive
máy lag nhúc_nhích tgdd đổi trả mua ở tgdd lần cuối thề tẩy_chay tgdd,Negative,Negative
pin number dùng trong number ngày anh nhân_viên cute cam chụp đẹp xem vd youtube numberp căng,Neutral,Positive
pin trâu thích nhất phần chụp hình ok trọn_gói nhân_viên phục_vụ nhiệt_tình,Positive,Positive
màn_hình xấu nó ngà_ngà xấu hơn màn_hình note number pro xài camera lồi quá mất thẩm_mỹ,Negative,Neutral
mua sản_phẩm iphone numberplus numberg tgdđ cảm_thấy ok mới mua giá tương_đối cao giờ giá tốt hơn minh se tiếp_tục mua sản_phẩm apple trong thời_gian tới,Positive,Negative
hiện dùng thấy ổn camera ok cấu_hình tốt pin trâu máy mới mua dùng khá ổn,Positive,Positive
pin trâu loa to thích nhất dong ss ko bao_giờ thất_vọng dòng ss đặc_biệt mua ở tgdd mấy anh_chị nhân_viên tư_vấn nhiệt_tình mk ủng_hộ dài_dài,Positive,Positive
pin sạc lâu quá mình cắm sạc numberh đến numberhnumber mới number độ sáng màn_hình chỉnh xuống number quá tối dòng máy khác xuống number siêu tối luôn độ sáng number mới rõ_ràng hao pin máy mượt chơi free fire ok pugb hơi giật tí đầu sao trong tầm giá quá tốt,Neutral,Positive
sao gửi đánh_giá đt xứng giá tiền cam_tệ chụp vỡ nét chụp đêm thảm_hại một trời một vực quảng_cáo pin tụt nhanh sd ít một ngày loa hay nhỏ cảm_biến vân tay gương_mặt khá nhạy chắc còn mới nói_chung mua dt khác giá numbertrnumber thiết_kế còn xấu hơn nova numberi nhận tiền học_bổng phi đi mua dt liền mua trúng dt chán quá thất_vọng tràn_trề,Negative,Negative
mình mua đc gần number tuần chơi game hoặc xem tik tok wf ao r xong kết_nối lầm,Negative,Negative
mua hôm number máy tốt mượt bin bền cam tạm đc nói_chung ổn trong tầm giá nhân_viên chu_đáo nhiệt_tình,Positive,Positive
mik mới mua máy number tuầnmình đêm máy hao mất number máy mới mua pin,Negative,Negative
iphone number plus màu đen nhám đẹp máy xài êm mua number tới nay gần number tháng ios number xài mượt camera chụp hình đẹp máy mượt nói_chung quyết_định đúng_đắn mua máy,Positive,Positive
cảm_ứng vân tay k nhạy lắm xem phim chẳng tràn hình sài tạm đc k mong_đợi,Negative,Negative
sử_dụng một tuần máy màn_hình đẹp xem phim nghe nhạc tốtchơi game nặng liên_quân pubg mượt chơi khoảng một tiếng máy nóng giật lag pin number thật tế ko trâu màn_hình lớn độ phân_giải cao tuột pin khá nhanhchụp ảnh màu_sắc trung_thực rõ nét trong tầm giá numbertr con tốt nhất,Positive,Positive
tôi mua number tháng bây_giờ dùng đơ máythao tác thật chậm mới dc cách giải_quyết k qtv,Negative,Negative
wifi điện_thoại tốt lắm mới_đầu tưởng sp lỗi đi đổi tgdd phục_vụ tốt hài_lòng,Neutral,Positive
may ngon rẻ chụp nét chơi game ít nóng mình dù đồ_họa cao m ngon hơn samsung,Positive,Positive
video màu_sắc nhợt_nhạt lắm chuyển bé màn_hình full màn trong youtube video nhảy màu_sắc sống_động hơn numbers mong sớm sửa lỗi,Neutral,Neutral
nhanh hao pin làm hao làm_sao hiển_thị thông_báo màn_hình khoá,Negative,Negative
cảm chụp ảnh thấy mờ_nhạt quá mắc dù kiện đủ sángcam thấy tâm ổn,Negative,Positive
mình quá thất_vọng về sam sungdùng tháng number ngày hỏng mích thu mang đến tt bảo_hành sửa lại phải chờ number ngày mới lấy dkmich thu mà có nữa thì cũng gọi là ttbh sam sung nữa chứvân tay thì bao_giờ mở dk number lần,Negative,Negative
tất_cả ok sóng hơi yếu ở cột sóng number cột sóng thôi mong bản cập_nhật chỗ khắc_phục,Neutral,Neutral
máy ok mấy bạn chơi game khỏe pin châu tuyệt vs tầm giá thấy lỗi hết,Positive,Positive
máy hoàn_thiện về mặt thiết_kế hiệu_năng chơi pubg tft mobile mượt sạc nhanh numberw đầu hơi nóng,Positive,Positive
máy mình dùng number tháng khá ổn_định về pin hiệu náng sản_phẩm đem nút number mình ấn luôn ae mua con thiết_kế đẹp cấu_hình cao chạy đa_nhiệm tốt,Positive,Positive
nói_chung điện_thoại xài oke pin ko ưng bụng lắm pin sạc sáng numberh number tới chiều numberh rớt khoảng number đến number mặc_dù dùng chơi game hay truy_cập trang mạng khác thỉnh_thoảng nghe gọi thôi rớt pin đến numbermah,Neutral,Negative
nhắm_mắt mua ai dè máy tệ ko thể chấp_nhận giật lag đơ cảm_ứng liên_tục nhân_viên tư_vấn thiếu nhiệt_tình,Negative,Negative
tuyệt vờiđánh giá trận thựccùng ủng_hộ thường hiểu viết người vn mình làm,Positive,Positive
mua gần numbertuaan sài khá ổn dung_lượng cao pin sài khá lâu muốn làm dì vô cài_đặt mơis,Positive,Positive
điện_thoại còn trong thời_gian bảo_hành một loa hỏng number ngày sửa_chữa thể chấp_nhận cẩn_trọng mua,Negative,Negative
đổi đến con_thứ number định đi đổi con_thứ number máy đẹp cam đẹp dùng khá thích đến nó đơ cây cơ máy mới mua vài ngày đơ liên_tục con_thứ number đơ chụp selfie lỗi bouns thêm quả tụt pin thần_thánh đổi con_thứ number mượt number ngày_giờ đơ cam oke cam giở_quẻ chụp ảnh lạc trôi luôn may pin xịn dùng k lắm number ngày sạc number lần giờ đi đổi chả biết gởi lòng tinvận may mình máy nào bác nào xài con nào ngon trong tầm giá number củ_e xin ý_kiến tks,Neutral,Positive
mới mua về sử_dụng number tuần sao mình thấy lần đăng ảnh fb hay instagram ảnh vỡ mặc_dù ảnh chụp nét biết thể đổi trả k,Negative,Neutral
lần đầu mình xài điện_thoại oppo nói_chung mượt quảng_cáo mình mua giá number triệu đáng_giá chụp ảnh đẹp,Negative,Positive
number tuần sử_dụng pin bình_thường camera hơi xấu lướt wed chơi game ở mức_độ tạm chấp_nhận máy ram numbergb chạy đa_nhiệm cực chán bộ_nhớ trong máy tận number lo đầy đánh_giá mình trong tầm giá vivo ynumber thua máy khác về mọi mặt,Negative,Negative
máy dùng ổn chơi ff đc nhạy lắm khá ổn đáng vs giá tiền,Positive,Positive
ok nhân_viên phục_vụ xinh gái cảm_thấy tuyệt_vời về mọi chức_năng game thứ ok loát ap fb hay mess ytb nhanh màn_hình to coi phim camera đẹp lắm dô app lightroom chỉnh tuyệt_vời mọi người mua sp,Positive,Positive
may sài con media chip đài loan mau hư may choi nổi vô game hay đơ dc cai chup hinh đep bền ngoai con ben trong sai khong ok pin mau tuột sac thi nhanh nóng máy thay k gi nổi_trội,Negative,Negative
sử_dụng đc hơn number tháng cảm_nhận mọi thao_tác thông_thường mượt xem phim lướt web thời_gian dài pin k ấm chơi game ấm một_tí xem ytb web dư một ngày chơi game đc tầm number trận liên_quân pin dư number chip chơi mượt ở mức trung_bình sd wifi full đồ_họa đc nói_chung bá đạo trong tầm giá sở_hữu camera tốt nhất trong tầm giá màn_hình sắc nét nịnh mắt,Positive,Positive
mới mua hôm_nay ở shop cát tiên lâm đồng nhân_viên tư_vấn quá nhiệt_tình hiếu_khách cực_kỳ ấn_tượng nói_chung máy cực tốt về phần cập_nhật crom thể cập_nhật trong tất_cả ứng_dụng cập_nhật,Positive,Positive
sài number tháng máy lâu_lâu máy đơwifi yếusóng yếuđang sài tự_nhiên đứng máy lnbấm nút nguồn mở mới sài đượcchán vãi,Negative,Negative
number ngày sd thấy chơi game khỏe nóng nghe nhạc hay pin khá trâu camera ưng lắm,Positive,Positive
máy đơ màn_hình chơi pubg va liên_quân hoi xin doi may dc ko con moi thu deu on xai ok,Neutral,Neutral
máy kem dùng number tháng máy lỗi xuống đổi máy khác nv ko đổithật máy dùng lỗi,Negative,Negative
mặc_dù mua thấy tốt number mua về thấy tốt luôn number sao thấy pin number ưng,Positive,Positive
dùng thửcảm giác tệ lần đầu dùng đc number ngày đc đổi number cai redmi mới sản_phẩm lỗi,Negative,Negative
bắt sóng wifi kém hi_vọng bản cập_nhật sắp tới cam hơi nhoè pin tạm ổn pin lipo mn tham_khảo gg,Negative,Negative
loa điện_thoại quá nhỏ number thág trở liên_tục gặp tình tình_trạng âm_thanh kém full hết cở nghe nhạcgọi điện thoạigọi zalonói mic trong game nhỏ đeo tai_nghe quá tệ,Negative,Negative
mua máy numberngàysử_dụng thấy ok trong tầm giáchỉ thi_thoảng lỗi camera vs lỗi cuộc gọicòn mình ý_kiến,Negative,Negative
máy đẹp cảm_ứng nhạy màn_hình to âm_thanh rõ lướt mượt bắt sóng wifi numberg tốt mức giá anh quản_lý ở tgdd number cmtnumber tp tây_ninh lịch dễ_thương,Positive,Positive
đt sài tốt luônpin trâu nữanhân viên nhiệt tìnhkhông chỗ nào chê hết,Positive,Positive
máy giá rẻ cấu_hình cao thương_hiệu oppo lớn chương_trình khuyến_mãi,Positive,Positive
sản_phẩm ok nhân_viên tgdđ gia bình bắc ninh nhiệt_tình người việt dùng hàng việt,Positive,Positive
màn_hình to camera ổn trong tầm giá về pin sạc nhanh mình lướt fb zalo mess xem phim trong number tiếng tụt number nói pin trâu cực chơi game pubg hay call of duty mình max setting giật hay nóng cả trong tầm giá numbertr đối_thủ nha bạn nào còn lăng tăng mua liền còn kịp mình đánh_giá cao ổn_định nhà xiaomi number ngày mình trải nghiệm khá hài_lòng mình sử_dụng thêm vài ngày đánh_giá tiếp mọi người xem,Positive,Positive
ngon bổ rẻ trong tầm tiền ủng_hộ hàng việt cảm_ơn bác vượng lắm mong một ngày doanh_số vượt mặt hãng made in prc,Positive,Positive
máy bắt sóng wifi numberg quá chậm gui tin nhắn zalo wechat gửi ko đi hoặc lâu mới nhận tin nhắn pin xai nhanh hết,Negative,Negative
sản_phẩm tốt pin trâu mình nghĩxài cả ngày number tiếng lướt fb pin tuột quá mau,Neutral,Positive
cảm_nhận gần number tháng sử_dụng máy oke về mọi mặt thiết_kế lẫn cấu_hình đặc_biệt sạc nhanh numberw sạc tới number tiếng máy đầy pinbin khoẻ chụp hình khỏi chê hỗ_trợ chụp đêm chụp chân_dung quay_phim siêu chậm mê cực chiến game khỏi nói chạy snap numberg ngon khỏi chê j màn_hình đẹp number đág máy ôg đg định mua máy tham_khảo mua dòng reno number nhév,Positive,Positive
chất_lượng tốt giá mua em quá ngon luôn_luôn ủng_hộ hàng việt chất_lượng,Positive,Positive
biết cách khắc_phục tình_trạng pin tụt number xuống number đêm sử_dụng chế_độ máy_bay,Negative,Neutral
nói_chung dùng ok máy hơi nóng xíu camera tạm ổn thôi hoàn_hảo lắm thua xa con xiaomi mi numbert,Negative,Neutral
thích nhất samsung còn đt cùi bắp đến bây_giờ giờ khá thất_vọng ss liên_tục sp liên_tiếp cạnh_tranh ko quan_tâm đến chất_lượng máy bắt sóng yếu hay đơ nóng máy vân tay ko nhạy ko biết ss nào chịu lắng_nghe người tiêu_dùng,Negative,Negative
máy lỗi vân tay đc ko gặp vấn_đề nặng trong nhận tin nhắn zalo messenger quá thất_vọng về vsmart,Negative,Negative
mình mua tháng number đến nay dùng ok máy vấn_đề j hết pin còn number trâu_bò,Positive,Positive
tuyet voi pin tuot nhanh quá sac xog dep number phut xuống number roi mở wiffi thôi ai giống tui,Negative,Neutral
dùng number tháng điện_thoại mượt sạc nhanh chơi game ok khỏi bàn kiểu_dáng đẹp nchung mua,Positive,Positive
một_số đánh giátheo mình d trại nghiệmmấy giá tốtchập hết tất_cả hàng dc ko màmn đòi_hỏi đủ thứ,Positive,Negative
máy tầm tiền rẻ thiết_kế đẹp lắm mọi người ạ chip khoẻ lắm,Positive,Positive
một thời_gian sử_dụng nhận_xét pin quá tốt sạc pin đầy chơi game chán_chê luôn độ ổn_định phần_mềm tốt cammera chụp đẹp nói_chung tầm giá dùng tốt,Positive,Positive
sản_phẩm tốt pin trâu mới mua đc ngày cam hơi lồi nhân_viên phục_vụ tận_tình,Positive,Positive
samsumg anumber con knumber con nào ngon hơn chơi game lien quân lướt fb vs xem youtube khoảng number ngày,Negative,Positive
mua máy mới mệt giao máy sử_dụng yêu_cầu đổi máy mới yêu_cầu đổi máy mới,Negative,Negative
đt kém chất_lượng đt sạc nhanh sạc lâu quá sạc numberh numberp dc number pin dang sạc tuột pin,Negative,Negative
mình mới mua hqua mang về dth hết sạch pin sạc đầy sử_dụng khoảng numberp hết number pin đến sáng tự sụt còn number trong ko sd sao nhỉ tgdđ,Negative,Negative
e vô chplay tải chương_trình về tải xác_minh àh máy sài_ok,Neutral,Negative
máy đẹp hiệu_năng tốt đợi sử_dụng một thời_gian xem thế_nào nhiêu thôi d,Positive,Positive
tôi mua được number tháng mọi thứ đều tốt duy có pin mau tuột nghe nhạc lướt wed sáng đầy pin nghe number bài hát còn number pin và máy nóng ko biết sao ko lẽ đi đổi máy vì hết tháng đổi,Negative,Negative
sản_phẩm lổi samsung thất_vọng mua về mún quăng đi nhắn_tin đóng phim chậm cảm_ứng quá tệ,Negative,Negative
mua đc number ngày sd thấy ok nói_chung ổn hợp túi_tiền cảm_biến vân tay nhạy,Positive,Positive
máy xài tốt mượt sạc nhanh pin trâu mình dùng tác vụ bình_thường zalo fb youtube number ngày rưỡi camera đẹp ảo,Positive,Positive
mấy_đời a mua nghe gọi chơi ý_định chơi game đưng muamàn hình cảm_ứng dở bao luôndùng cảm_ứng chạmmỗi lnumbern bấm nút nguồn tắt màn_hình rùi mở chối,Negative,Negative
máy xài ổn pin dùng trong number ngày máy mượt giật lang máy dòng android bỏ số tiền xứng_đáng,Positive,Positive
mượt mình thích khả_năng chống nước sp test thử hài_lòng bác nói màu sơn bền mình ko dùng ốp đến giờ lớp sơn long_lanh ko tróc,Positive,Positive
máy camera number chup hình dở pin tụt nhanh mạng yếu thực thất_vọng dòng xiaomi đình_đám khoác_lác thôi,Negative,Negative
máy ngoại_hình đẹp chơi game cx tạm ổn mấy bạn chơi game nặng chịu_khó chỉnh đồ_hoạ phì hợp chỉnh maxseting bảo giật,Positive,Positive
tất_cả tốt pin number tụt nhanh quá lướt fb nửa tiếng thôi tụt gần number tắt mạng đêm tự tụt pin,Neutral,Negative
dòng samsung thất_bại cảm_ứng lỗi đa điểm pin number tụt nhanh hy_vọng bản vá sửa lỗi,Negative,Negative
mua number ngày sạc ko mang bảo_hành báo lỗi rêu chân sạc đổ lỗi người dùng làm zính chất_lỏng ko bik chất_lỏng ở đâu đổ lỗi chịu thôi cơ number ngày giải_quyết sớm mình chán quá numbertr mua number sản_phẩm kém chất_lượng thất_vọng tràn_trề người việt nam đem hàng kém chất_lượng bán người việt_nam,Negative,Negative
quá ngon quá đẹp đc trải nghiệm hôm_nay mọi người phân_vân tầm number ngon hơn oppo realme vivo,Positive,Positive
mình mua con redmi note number tuần sử_dụng máy ko một lỗi nào cả mình thấy tốt tầm giá nói tuyệt_vời tgdd phục_vụ nhiệt_tình,Positive,Positive
