comment,sentiment,main_aspect,n_star,aspects_list
mới mua máy thegioididong thốt_nốt cảm_thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe_sóng ổn_định giá_thành túi_tiền nhân_viên tư_vấn nhiệt_tình,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
pin kém còn miễn chê mua number tình_trạng pin còn number ai giống tôi,Neutral,BATTERY,5,"[('BATTERY', 'Negative'), ('GENERAL', 'Positive')]"
sao gọi điện_thoại màn_hình chấm nhỏ nháy gần camera vậylúc,Negative,FEATURES,3,"[('FEATURES', 'Negative')]"
mọi người cập_nhật phần_mềm nó bớt tốn pin mình thử mọi thứ ok vân tay ko nhạy,Neutral,FEATURES,3,"[('FEATURES', 'Negative'), ('BATTERY', 'Neutral'), ('GENERAL', 'Neutral')]"
mới mua sài number tháng thấy pin trâu sài bao mượt number lỗi nhỏ mình nghe nhạc bằng tai_nghe nghe hơi lâu ko biết sao nó ko nghe mất rút tai_nghe cắm nó mới nghe,Positive,BATTERY,5,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('SER&ACC', 'Negative')]"
xài tốt mượt pin trâu bạn độ sáng đủ nhân_viên nhiệt_tình vui_vẻ nói_chung tầm giá máy quá tốt,Positive,BATTERY,5,"[('BATTERY', 'Neutral'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mình mới xài number tháng xuống number pin chả hiểu máy mới kiểu dùng cơ_bản lướt web cơ_bản game ko chơi,Negative,BATTERY,1,"[('BATTERY', 'Negative')]"
hôm ngày number e thế_giới di_động mua dthoai galaxy anumber đầu bên cửa_hàng báo_giá numberđ tặng phiếu mua hàng numberk thanh_toán nhân_viên thanh_toán numberđ phiếu mua hàng đi numberkm xuống mua thoai tối về đến nhà nhân_viên mới gọi đến xin_lỗi sai xót bảo mình xuống nhận phiếu mua hàng numberk chán quá đúng làm mất thời_gian,Negative,SER&ACC,2,"[('SER&ACC', 'Negative')]"
sao điện_thoại mới sạc nó nóng máy quá trời t_tắt tất_cả mạng ứng dung game cấm ko chạy nền ko sạc dùng điện_thoại nóng quá trời sạc number tiếng mới đầy,Negative,BATTERY,2,"[('BATTERY', 'Negative')]"
đầu định mua samsung shop nhân_viên tư_vấn oppo anumber thất_vọng thực dùng oppo màn_hình hiển_thị tối_om máy chơi game giật lang khó_chịu vl sạc lâu k bao_giờ dungg oppo,Negative,SCREEN,1,"[('SCREEN', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('SER&ACC', 'Negative')]"
